SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
6,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,0,09F,3,00006F8D,3,00006F88,3,00006F85,3,00000000,0,00000000,0,00000000,0,1
7,1,0AB,3,00011FDA,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,2,02C,3,000053FD,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,3,0E1,3,00001489,1,0000767E,3,00000000,0,00000000,0,00000000,0,00000000,0,1
7,4,2FA,2,0EDBC916,3,0EDBE538,0,00000000,0,00000000,0,00000000,0,00000000,0,3
7,5,1EF,4,00001140,3,00001974,1,0000177C,2,000019A8,0,00001A48,3,00000000,0,2
7,6,29F,3,0000E1C5,2,0000A237,3,00000000,0,00000000,0,00000000,0,00000000,0,0
7,7,0B1,4,00001831,3,00001858,2,00001FEA,0,00001FEE,0,00000000,0,00000000,0,0
7,8,2B1,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
7,9,2A2,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
7,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
7,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,0,0F1,3,00004623,2,00004627,2,0000ECB2,3,00000000,0,00000000,0,00000000,0,3
8,1,1EF,5,0000016E,2,0000196E,0,00001971,0,00001974,0,00000000,0,00000000,0,0
8,2,2BF,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
8,3,29F,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
8,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
8,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,0,0DE,4,00001786,2,0000109C,2,0000109D,3,00000000,0,00000000,0,00000000,0,3
9,1,03D,3,0000C73C,2,0000C74E,1,00015004,2,00000000,0,00000000,0,00000000,0,1
9,2,0D3,3,00000F1B,3,0000FE65,2,00000EAF,2,00000000,0,00000000,0,00000000,0,2
9,3,0E0,3,00004338,3,000228D0,3,000228D1,3,00000000,0,00000000,0,00000000,0,2
9,4,0AA,3,00000143,3,000005B4,2,000005BA,2,00000000,0,00000000,0,00000000,0,2
9,5,2B1,3,0000DA5E,2,0000DA58,3,00000000,0,00000000,0,00000000,0,00000000,0,4
9,6,2D2,5,00000042,2,00000045,2,00000044,2,00000000,0,00000000,0,00000000,0,2
9,7,1EF,2,0EDCB72B,3,0EDB5CA9,3,00000000,0,00000000,0,00000000,0,00000000,0,1
9,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
9,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,0,0BC,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
10,1,0E0,3,000041EE,2,000277E1,3,000228C7,3,00000000,0,00000000,0,00000000,0,5
10,2,098,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
10,3,0A3,3,00001D8B,2,0000F23C,3,00000000,0,00000000,0,00000000,0,00000000,0,1
